pk_id_altmetrics_info,version,date_from,date_to,id,"title","journal_title","author",publication_date,"doi","detail_url"
28,1,1900-01-01 00:00:00,2200-01-01 00:00:00,28,"Structure of Phytoene Desaturase Provides Insights into Herbicide Binding and Reaction Mechanisms Involved in Carotene Desaturation","Structure","Beyer, Peter; Einsle, Oliver; Ghisla, Sandro; Koschmieder, Julian; Gemmecker, Sandra; Brausemann, Anton",2017-06-29 00:00:00,"10.1016/j.str.2017.06.002","https://www.altmetric.com/details/21727862"
29,1,1900-01-01 00:00:00,2200-01-01 00:00:00,29,"The “quiet revolution” in the aquaculture value chain in Bangladesh","Aquaculture","Belton, Ben; Hu, Chaoran; Xiaobo, Zhang; Hernandez, Ricardo; Ahmed, Akhter; Reardon, Thomas",2017-06-01 00:00:00,"10.1016/j.aquaculture.2017.06.006","https://www.altmetric.com/details/21658038"
30,1,1900-01-01 00:00:00,2200-01-01 00:00:00,30,"China's fight to halt tree cover loss","Proceedings of the Royal Society B: Biological Sciences","Ahrends, A; Hollingsworth, PM; Beckschäfer, P; Chen, H; Zomer, RJ; Zhang, L; Wang, M; Xu, J",2017-05-17 00:00:00,"10.1098/rspb.2016.2559","https://www.altmetric.com/details/19803838"
31,1,1900-01-01 00:00:00,2200-01-01 00:00:00,31,"The genome landscape of indigenous African cattle","Genome Biology (Online Edition)","Hanotte, Olivier; Salim, Bashir; Agaba , Morris; Sung Jong Oh; Duhak Yoon; Lim, Dajeong; Kwondo Kim; Diallo, Boubacar; Samsun Sung; Woori Kwak; Dessie, Tadelle; Kwon, Taehyung; Hak-Kyo Lee; Heebal Kim; Song, Ki-Duk; Seo, Minseok; Kim, Jaemin; Kemp, Stephen; Seoae Cho; Taye, Mengistie; Jeong, Hyeonsoo; Okeyo Mwai, Ally; Lee, Hyun-Jeong",2017-02-20 00:00:00,"10.1186/s13059-017-1153-y","https://www.altmetric.com/details/16559974"
32,1,1900-01-01 00:00:00,2200-01-01 00:00:00,32,"Can conservation funding be left to carbon finance? Evidence from participatory future land use scenarios in Peru, Indonesia, Tanzania, and Mexico","Environmental Research Letters (ERL)","Ravikumar, A; Larjavaara, M; Larson, A; Kanninen, M",2017-01-13 00:00:00,"10.1088/1748-9326/aa5509","https://www.altmetric.com/details/15512863"
33,1,1900-01-01 00:00:00,2200-01-01 00:00:00,33,"A methodological approach for assessing cross-site landscape change: Understanding socio-ecological systems","Forest Policy & Economics","Sunderland, Terence; Gumbo, Davison; Foli, Samson",2017-01-01 00:00:00,"10.1016/j.forpol.2017.04.013","https://www.altmetric.com/details/20036133"
34,1,1900-01-01 00:00:00,2200-01-01 00:00:00,34,"Happiness in the Air: How Does a Dirty Sky Affect Mental Health and Subjective Well-being?","Journal of Environmental Economics & Management","Zhang, Xin; Chen, Xi; Zhang, Xiaobo",2017-04-01 00:00:00,"10.1016/j.jeem.2017.04.001","https://www.altmetric.com/details/18754009"
35,1,1900-01-01 00:00:00,2200-01-01 00:00:00,35,"Oil palm–community conflict mapping in Indonesia: A case for better community liaison in planning for development initiatives","Applied Geography","Abram, N.K., Meijaard, E., Wilson, K.A., Davis, J.T., Wells, J.A., Ancrenaz, M., Budiharta, S., Durrant, A., Fakhruzzi, A., Runting, R.K., Gaveau, D.L.A., Mengersen, K.",2017-01-01 00:00:00,"10.1016/j.apgeog.2016.10.005","https://www.altmetric.com/details/13950738"
36,1,1900-01-01 00:00:00,2200-01-01 00:00:00,36,"Climate Change Impacts on Selected Global Rangeland Ecosystem Services","Global Change Biology","Sircely, Jason A.; Thornton, Phillip K.; Herrero, M.; Conant, R.T.; Boone, R.B.",2017-11-21 00:00:00,"10.1111/gcb.13995","https://www.altmetric.com/details/29224574"
37,1,1900-01-01 00:00:00,2200-01-01 00:00:00,37,"Fire economy and actor network of forest and land fires in Indonesia","Forest Policy & Economics","Purnomo, Herry; Shantiko, Bayuni; Achdiawan, Ramadhani",2017-05-01 00:00:00,"10.1016/j.forpol.2017.01.001","https://www.altmetric.com/details/15319420"
38,1,1900-01-01 00:00:00,2200-01-01 00:00:00,38,"Why peatlands matter",,"CIFOR",2017-01-01 00:00:00,"10.17528/cifor/006453","https://www.altmetric.com/details/19973596"
39,1,1900-01-01 00:00:00,2200-01-01 00:00:00,39,"An integrated study of human and animal infectious disease in the Lake Victoria crescent small-holder crop-livestock production system, Kenya","BMC Infectious Diseases","Fèvre, E.M., Glanville, W.A. de, Thomas, L.F., Cook, E.A.J., Kariuki, S., Wamae, C.N.",2017-06-30 00:00:00,"10.1186/s12879-017-2559-6","https://www.altmetric.com/details/21446676"
40,1,1900-01-01 00:00:00,2200-01-01 00:00:00,40,"Estate Crops More Attractive than Community Forests in West Kalimantan, Indonesia","Land","Sunderland, Terence",2017-02-08 00:00:00,"10.3390/land6010012","https://www.altmetric.com/details/16225434"
41,1,1900-01-01 00:00:00,2200-01-01 00:00:00,41,"Dietary species richness as a measure of food biodiversity and nutritional quality of diets","Proceedings of the National Academy of Sciences of the United States of America","Lachat, C., Raneri, J.E., Walker Smith, K., Kolsteren, P., van Damm, P., Verzelen, K., Penafiel, D., Vanhove, W., Kennedy, G., Hunter, D., Oduor Odhiambo, F., Ntandou-Bouzitou, G., De Baets, B., Ratnasekera, D., The Ky, H., Remans, R., Termote, C.",2017-12-18 00:00:00,"10.1073/pnas.1709194115","https://www.altmetric.com/details/30635933"
42,1,1900-01-01 00:00:00,2200-01-01 00:00:00,42,"10 best bet innovations for adaptation in agriculture: A supplement to the UNFCCC NAP Technical Guidelines",,"Bonilla-Findji, Osana; Dinesh, Dhanush; Richards, Meryl; Campbell, Bruce Morgan",2017-11-02 00:00:00,,"https://www.altmetric.com/details/28343239"
43,1,1900-01-01 00:00:00,2200-01-01 00:00:00,43,"Trees for life: The ecosystem service contribution of trees to food production and livelihoods in the tropics","Forest Policy & Economics","Padoch, Christine; Sunderland, Terence; Clendenning, Jessica; Reed, James; Foli, Samson",2017-01-01 00:00:00,"10.1016/j.forpol.2017.01.012","https://www.altmetric.com/details/15823400"
44,1,1900-01-01 00:00:00,2200-01-01 00:00:00,44,"Spatial, seasonal and climatic predictive models of Rift Valley fever disease across Africa","Philosophical Transactions of the Royal Society B: Biological Sciences","Redding, DW, Tiedt, S, Lo Iacono, G, Bett, B, Jones, KE, Bett, Bernard K.",2017-07-19 00:00:00,"10.1098/rstb.2016.0165","https://www.altmetric.com/details/20925400"
45,1,1900-01-01 00:00:00,2200-01-01 00:00:00,45,"Have integrated landscape approaches reconciled societal and environmental issues in the tropics?","Land Use Policy","Sunderland, Terence; Reed, James",2017-01-01 00:00:00,"10.1016/j.landusepol.2017.02.021","https://www.altmetric.com/details/16573554"
46,1,1900-01-01 00:00:00,2200-01-01 00:00:00,46,"The “Discouraged Worker Effect” in Public Works Programs: Evidence from the MGNREGA in India","World Development","Barrett, Christopher B.; Narayanan, Sudha; Liu, Yanyan; Das, Upasak",2017-12-01 00:00:00,"10.1016/j.worlddev.2017.07.024","https://www.altmetric.com/details/26562657"
47,1,1900-01-01 00:00:00,2200-01-01 00:00:00,47,"Economic Development, Mobility, and Political Discontent: An Experimental Test of Tocqueville’s Thesis in Pakistan","American Political Science Review","Kosec, Katrina; Healy, Andrew; Mo, Cecilia Hyunjung",2017-06-29 00:00:00,"10.1017/s000305541700017x","https://www.altmetric.com/details/21439694"
48,1,1900-01-01 00:00:00,2200-01-01 00:00:00,48,"New perspectives on the regulation of iron absorption via cellular zinc concentrations in humans","Critical Reviews in Food Science and Nutrition","Graham, RD; Welch, RM; Knez, M; Stangoulis, JCR",2017-07-03 00:00:00,"10.1080/10408398.2015.1050483","https://www.altmetric.com/details/29472225"
49,1,1900-01-01 00:00:00,2200-01-01 00:00:00,49,"Research Priorities for the Conservation and Sustainable Governance of Andean Forest Landscapes","Mountain Research & Development","Mathez-Stiefel, S-L., Peralvo, M., Báez, S., Rist, S., Buytaert, W., Cuesta, F., Fadrique, B., Feeley, K.J., Groth, A.A.P., Homeier, J., Llambi, L.D., Locatelli, B., López Sandoval, M.F., Malizia, A., Young, K.R.",2017-08-01 00:00:00,"10.1659/mrd-journal-d-16-00093.1","https://www.altmetric.com/details/26721226"
50,1,1900-01-01 00:00:00,2200-01-01 00:00:00,50,"Poor performance of the rapid test for human brucellosis in health facilities in Kenya","PLoS Neglected Tropical Diseases","Díaz, Ramón; Moriyón, Ignacio; Njeru, John; Conde-Álvarez, Raquel; de Glanville, William A.; Cook, Elizabeth A. J.",2017-04-07 00:00:00,"10.1371/journal.pntd.0005508","https://www.altmetric.com/details/18610160"
51,1,1900-01-01 00:00:00,2200-01-01 00:00:00,51,"A Mesoamerican origin of cherimoya (Annona cherimola Mill.). Implications for the conservation of plant genetic resources","Molecular Ecology","Larranaga, N., Albertazzi, F. J, Fontecha, G., Palmieri, M., Rainer, H., van Zonneveld, M., Hormaza, J.I.",2017-05-26 00:00:00,"10.1111/mec.14157","https://www.altmetric.com/details/20377578"
52,1,1900-01-01 00:00:00,2200-01-01 00:00:00,52,"Planes actuales de restauración ecológica en Latinoamérica: Avances y omisiones","Ciencias Ambientales","Guariguata, Manuel",2017-01-01 00:00:00,"10.15359/rca.51-2.1","https://www.altmetric.com/details/22017483"
53,1,1900-01-01 00:00:00,2200-01-01 00:00:00,53,"Characteristic trajectories of ecosystem services in mountains","Frontiers in Ecology & the Environment","Locatelli, B., Lavorel, S., Sloan, S., Tappeiner, U., Geneletti, D.",2017-03-13 00:00:00,"10.1002/fee.1470","https://www.altmetric.com/details/17390579"
54,1,1900-01-01 00:00:00,2200-01-01 00:00:00,54,"Working conditions and public health risks in slaughterhouses in western Kenya","BMC Public Health","de Clare Bronsvoort, Barend Mark; Fèvre, Eric Maurice; Thomas, Lian Francesca.; Kariuki, Samuel; Cook, Elizabeth Anne Jessie; de Glanville, William Anson",2017-01-05 00:00:00,"10.1186/s12889-016-3923-y","https://www.altmetric.com/details/15259728"
55,1,1900-01-01 00:00:00,2200-01-01 00:00:00,55,"Timber certification as a catalyst for change in forest governance in Cameroon, Indonesia, and Peru","International Journal of Biodiversity Science, Ecosystem Services &amp; Management","Cerutti, Paolo; Tsanga, Raphael; Mendoula, Edouard",2017-01-01 00:00:00,"10.1080/21513732.2016.1269134","https://www.altmetric.com/details/15661871"
56,1,1900-01-01 00:00:00,2200-01-01 00:00:00,56,"Rights abuse allegations in the context of REDD+ readiness and implementation: A preliminary review and proposal for moving forward",,"Sarmiento Barletti, J.P., Larson, A.M., Sarmiento Barletti J.P., Larson A.M.",2017-01-01 00:00:00,"10.17528/cifor/006630","https://www.altmetric.com/details/28207887"
57,1,1900-01-01 00:00:00,2200-01-01 00:00:00,57,"New map reveals more peat in the tropics",,"Martius, Georg; Murdiyarso, Daniel",2017-01-01 00:00:00,"10.17528/cifor/006452","https://www.altmetric.com/details/19782303"
58,1,1900-01-01 00:00:00,2200-01-01 00:00:00,58,"Perceptions across scales of governance and the Indonesian peatland fires","Global Environmental Change Part A: Human & Policy Dimensions","Carmenta, Rachel",2017-09-01 00:00:00,"10.1016/j.gloenvcha.2017.08.001","https://www.altmetric.com/details/24519763"
59,1,1900-01-01 00:00:00,2200-01-01 00:00:00,59,"Biofortification: A review of ex-ante models","Global Food Security","Moursi, Mourad; Zeller, Manfred; Fiedler, John L.; De Moura, Fabiana F.; Lividini, Keith",2017-11-01 00:00:00,"10.1016/j.gfs.2017.11.001","https://www.altmetric.com/details/29649309"
60,1,1900-01-01 00:00:00,2200-01-01 00:00:00,60,"Approaches and tools for assessing mountain forest ecosystem services",,"Baral, Himlal; Artati, Yustina",2017-01-01 00:00:00,"10.17528/cifor/006755","https://www.altmetric.com/details/31987844"
