fk_id_policy_info,fk_id_crp,fk_id_pol_inv_typ,fk_id_smo_org_types,fk_id_stage_processes,fk_id_stg_maturity,fk_id_geo_scopes,fk_id_phases,fk_id_location,fk_id_srf,fk_id_cci,fk_id_ext_partner,fk_id_policy_owner,fk_id_sdg,"fk_id_oics"
101,1,2,0,2,0,3,3,24,0,13,0,0,78,"0"
106,1,1,0,2,0,4,3,54,0,13,0,0,78,"0"
108,2,1,0,1,0,4,20,189,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,105,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,118,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,39,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,3,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,135,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,136,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,188,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,187,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,183,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,200,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,201,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,249,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,262,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,19,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,27,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,61,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,40,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,50,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,66,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,234,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,93,0,13,0,0,78,"0"
111,2,1,0,1,0,3,20,106,0,13,0,0,78,"0"
112,2,1,0,1,0,3,20,118,0,13,0,0,78,"0"
112,2,1,0,1,0,3,20,135,0,13,0,0,78,"0"
112,2,1,0,1,0,3,20,136,0,13,0,0,78,"0"
112,2,1,0,1,0,3,20,189,0,13,0,0,78,"0"
112,2,1,0,1,0,3,20,209,0,13,0,0,78,"0"
