fk_id_innovation_info,fk_id_ext_partner,"role"
1364,4320,"Contibutor"
1364,660,"Contibutor"
1364,115,"Leader"
1365,830,"Contibutor"
1365,118,"Leader"
1366,108,"Leader"
1367,113,"Contibutor"
1367,1521,"Leader"
1368,274,"Contibutor"
1368,237,"Contibutor"
1368,4312,"Contibutor"
1368,1631,"Contibutor"
1368,1950,"Contibutor"
1368,116,"Leader"
1369,112,"Contibutor"
1369,112,"Leader"
1370,112,"Contibutor"
1370,1805,"Contibutor"
1370,1656,"Contibutor"
1370,112,"Leader"
1371,951,"Contibutor"
1371,974,"Contibutor"
1371,194,"Contibutor"
1371,2237,"Contibutor"
1371,263,"Contibutor"
1371,108,"Leader"
1372,257,"Contibutor"
1372,679,"Contibutor"
1372,107,"Leader"
1373,112,"Contibutor"
1373,112,"Leader"
1374,789,"Contibutor"
1374,789,"Leader"
1375,1205,"Contibutor"
1375,479,"Contibutor"
1375,613,"Leader"
1376,2451,"Contibutor"
1376,191,"Contibutor"
1376,106,"Leader"
1377,109,"Contibutor"
1377,1847,"Leader"
1378,697,"Contibutor"
1378,1718,"Contibutor"
1378,1925,"Contibutor"
1378,146,"Contibutor"
1378,113,"Leader"
1379,1644,"Contibutor"
1379,966,"Contibutor"
1379,2240,"Contibutor"
1379,1661,"Contibutor"
1379,1631,"Contibutor"
1379,721,"Contibutor"
1379,1686,"Contibutor"
1379,1847,"Contibutor"
1379,110,"Leader"
1380,110,"Contibutor"
1380,4431,"Contibutor"
1380,655,"Contibutor"
1380,1620,"Contibutor"
1380,1630,"Leader"
1381,486,"Contibutor"
1381,108,"Leader"
1382,486,"Contibutor"
1382,4175,"Contibutor"
1382,108,"Leader"
1383,552,"Contibutor"
1383,112,"Contibutor"
1383,107,"Contibutor"
1383,140,"Contibutor"
1383,115,"Contibutor"
1383,1382,"Leader"
1384,974,"Contibutor"
1384,119,"Leader"
1385,2237,"Contibutor"
1385,119,"Leader"
1386,2237,"Contibutor"
1386,119,"Leader"
1387,2237,"Contibutor"
1387,119,"Leader"
1388,1137,"Contibutor"
1388,119,"Leader"
1389,119,"Contibutor"
1389,1037,"Leader"
1390,475,"Contibutor"
1390,119,"Leader"
1391,112,"Contibutor"
1391,106,"Leader"
1392,93,"Contibutor"
1392,106,"Leader"
1393,79,"Contibutor"
1393,93,"Contibutor"
1393,2725,"Contibutor"
1393,116,"Leader"
1394,110,"Contibutor"
1394,1092,"Contibutor"
1394,1651,"Leader"
1395,118,"Contibutor"
1395,830,"Contibutor"
1395,4183,"Contibutor"
1395,1841,"Contibutor"
1395,80,"Contibutor"
1395,113,"Leader"
1396,660,"Contibutor"
1396,107,"Contibutor"
1396,2134,"Leader"
1397,116,"Leader"
1398,116,"Contibutor"
1398,646,"Contibutor"
1398,594,"Leader"
1399,118,"Contibutor"
1399,621,"Contibutor"
1399,1519,"Contibutor"
1399,2578,"Contibutor"
1399,116,"Leader"
1400,112,"Contibutor"
1400,113,"Contibutor"
1400,107,"Leader"
1401,1758,"Contibutor"
1401,106,"Leader"
1402,109,"Contibutor"
1402,2580,"Contibutor"
1402,109,"Leader"
1403,1024,"Contibutor"
1403,109,"Leader"
1404,486,"Contibutor"
1404,4096,"Contibutor"
1404,4175,"Contibutor"
1404,108,"Leader"
1406,4096,"Contibutor"
1406,486,"Contibutor"
1406,4175,"Contibutor"
1406,108,"Leader"
1407,112,"Contibutor"
1407,112,"Leader"
1408,112,"Contibutor"
1408,112,"Leader"
1409,107,"Contibutor"
1409,107,"Leader"
1410,112,"Contibutor"
1410,112,"Leader"
1411,116,"Contibutor"
1411,594,"Contibutor"
1411,2456,"Leader"
1412,115,"Contibutor"
1412,115,"Leader"
1413,112,"Contibutor"
1413,2701,"Contibutor"
1413,112,"Leader"
1414,119,"Contibutor"
1415,115,"Contibutor"
1415,115,"Leader"
1416,646,"Contibutor"
1416,115,"Contibutor"
1416,11,"Contibutor"
1416,1228,"Contibutor"
1416,646,"Leader"
1417,112,"Leader"
981,79,"Contibutor"
981,195,"Contibutor"
981,202,"Contibutor"
981,960,"Contibutor"
981,568,"Contibutor"
981,105,"Leader"
1418,1561,"Contibutor"
1418,694,"Contibutor"
1418,112,"Contibutor"
1418,112,"Leader"
1419,112,"Contibutor"
1419,534,"Contibutor"
1419,112,"Leader"
1420,674,"Contibutor"
1420,534,"Contibutor"
1420,563,"Contibutor"
1420,297,"Contibutor"
1420,487,"Contibutor"
1420,112,"Leader"
1421,107,"Contibutor"
1421,945,"Leader"
1422,528,"Contibutor"
1422,4517,"Contibutor"
1422,1122,"Contibutor"
1422,2730,"Contibutor"
1422,292,"Contibutor"
1422,105,"Leader"
1423,994,"Contibutor"
1423,1923,"Contibutor"
1423,105,"Leader"
1424,1676,"Contibutor"
1424,111,"Leader"
1425,110,"Contibutor"
1425,945,"Contibutor"
1425,1669,"Contibutor"
1425,111,"Leader"
1426,111,"Leader"
1427,111,"Leader"
1428,111,"Contibutor"
1428,1101,"Contibutor"
1429,481,"Contibutor"
1429,111,"Leader"
1430,105,"Contibutor"
1430,1736,"Leader"
1431,739,"Contibutor"
1431,1764,"Contibutor"
1431,106,"Leader"
1432,106,"Contibutor"
1432,111,"Leader"
1433,105,"Contibutor"
1433,1903,"Contibutor"
1434,105,"Contibutor"
1434,111,"Contibutor"
1434,1859,"Contibutor"
1434,4551,"Contibutor"
1434,1195,"Contibutor"
1434,107,"Leader"
1435,803,"Contibutor"
1435,10,"Contibutor"
1435,4142,"Contibutor"
1435,2109,"Contibutor"
1435,111,"Leader"
1436,107,"Contibutor"
1436,106,"Contibutor"
1436,105,"Contibutor"
1436,1661,"Contibutor"
1436,111,"Leader"
1437,960,"Contibutor"
1437,2245,"Contibutor"
1437,111,"Leader"
1438,803,"Contibutor"
1438,111,"Leader"
1439,107,"Contibutor"
1439,106,"Contibutor"
1439,1725,"Contibutor"
1440,111,"Leader"
1441,107,"Contibutor"
1441,106,"Contibutor"
1441,105,"Contibutor"
1441,111,"Contibutor"
1441,1631,"Leader"
1442,111,"Leader"
1443,105,"Contibutor"
1443,974,"Contibutor"
1444,1734,"Contibutor"
1444,111,"Leader"
1445,196,"Contibutor"
1445,111,"Leader"
1446,105,"Contibutor"
1446,1122,"Contibutor"
1446,4512,"Contibutor"
1447,105,"Contibutor"
1447,693,"Contibutor"
1447,739,"Leader"
1448,1849,"Contibutor"
1448,106,"Leader"
1449,1737,"Contibutor"
1449,1724,"Contibutor"
1449,105,"Leader"
1450,105,"Contibutor"
1450,646,"Contibutor"
1450,945,"Contibutor"
1450,1901,"Contibutor"
1450,4092,"Contibutor"
1450,107,"Leader"
1451,107,"Contibutor"
1451,1666,"Leader"
1452,739,"Contibutor"
1452,1776,"Contibutor"
1452,4507,"Contibutor"
1452,107,"Contibutor"
1453,105,"Contibutor"
1453,4522,"Contibutor"
1454,969,"Contibutor"
1454,2094,"Contibutor"
1454,4181,"Contibutor"
1454,107,"Leader"
1455,111,"Leader"
1456,105,"Leader"
1457,111,"Contibutor"
1457,2094,"Contibutor"
1458,105,"Contibutor"
1458,4169,"Contibutor"
1459,1689,"Contibutor"
1459,1778,"Contibutor"
1459,111,"Leader"
1460,114,"Contibutor"
1460,2647,"Leader"
1461,114,"Contibutor"
1461,1892,"Leader"
1462,65,"Contibutor"
1462,114,"Leader"
1463,808,"Contibutor"
1463,905,"Contibutor"
1463,4143,"Contibutor"
1463,2661,"Contibutor"
1463,114,"Leader"
1464,114,"Contibutor"
1464,1892,"Leader"
1465,90,"Contibutor"
1465,726,"Contibutor"
1465,2326,"Contibutor"
1465,114,"Leader"
