fk_id_location,fk_id_oics
278,289
72,290
105,291
105,292
105,293
248,438
279,439
87,441
269,442
262,443
72,444
87,446
253,447
118,449
118,450
262,450
258,453
72,454
118,454
262,454
258,454
262,455
37,456
85,456
299,458
72,459
118,465
19,466
72,466
118,466
39,466
222,466
68,467
276,468
189,469
27,470
101,470
187,470
19,470
87,470
60,472
209,473
222,474
65,476
298,476
299,476
87,476
87,477
85,478
155,478
136,478
189,478
262,478
232,478
274,478
87,478
118,479
299,480
299,481
105,482
32,488
72,492
209,493
72,494
269,496
299,500
281,500
276,501
282,501
277,501
72,502
262,503
299,505
189,507
87,508
195,511
87,512
287,513
281,513
276,513
278,513
288,513
87,513
278,514
118,515
276,515
209,516
195,518
87,520
72,521
93,522
273,523
118,526
299,526
87,527
85,528
118,528
183,528
209,528
222,528
258,528
1,529
124,530
184,530
247,530
222,531
222,531
290,537
292,537
293,537
291,537
87,537
276,538
282,538
277,538
146,539
278,540
200,541
93,542
105,549
24,551
60,551
40,551
47,551
261,551
98,551
105,551
200,551
72,551
85,551
118,551
153,551
135,551
139,551
144,551
136,551
154,551
189,551
209,551
262,551
258,551
232,551
87,551
87,552
87,553
105,561
105,562
189,564
279,566
183,569
275,570
50,571
124,572
183,574
87,575
38,646
258,646
189,647
262,647
7,648
24,648
37,648
38,648
61,648
72,648
85,648
118,648
135,648
136,648
154,648
189,648
209,648
232,648
262,648
258,648
274,648
277,649
276,649
280,649
282,649
105,650
106,650
201,650
269,650
118,651
285,652
277,652
276,652
280,652
286,652
292,652
76,653
187,653
262,653
19,658
155,659
105,660
19,661
19,662
248,663
105,664
248,665
105,666
155,667
155,668
136,669
136,670
39,671
19,672
19,673
155,674
155,675
248,676
87,677
87,678
189,679
1,680
19,680
24,680
26,680
37,680
38,680
42,680
51,680
60,680
63,680
70,680
72,680
82,680
85,680
95,680
96,680
105,680
107,680
118,680
128,680
135,680
136,680
139,680
143,680
144,680
145,680
154,680
183,680
188,680
189,680
195,680
138,680
210,680
209,680
211,680
222,680
224,680
225,680
231,680
232,680
234,680
236,680
262,680
249,680
258,680
274,680
275,680
277,680
276,680
278,680
155,681
37,682
72,682
85,682
139,682
189,682
262,682
258,682
277,682
276,682
38,683
40,683
61,683
72,683
118,683
209,683
262,683
258,683
274,683
87,684
269,686
258,687
275,693
39,696
155,696
269,696
106,696
201,696
