attention_score,news_total,blog_total,policy_total,twitter_total,facebook_total,mendeley_total,fk_id_crp,fk_id_phases,fk_id_altmetrics_info
47,3,2,0,11,1,37,1,9,1406
0,0,0,0,0,0,0,1,9,1407
9,0,0,0,10,0,31,1,9,1408
21,0,0,0,25,1,114,1,9,1409
27,0,2,0,19,0,49,1,9,1410
2,0,0,0,3,0,39,1,9,1411
27,0,1,1,19,0,147,1,9,1412
15,0,1,0,7,0,31,1,9,1413
36,0,1,0,42,2,26,1,9,1414
7,0,0,0,10,0,1,1,9,1415
2,0,0,0,3,0,29,1,9,1416
6,0,0,0,11,0,26,1,9,1417
10,0,0,0,14,1,36,1,9,1418
12,0,1,0,6,0,23,1,9,1419
9,0,1,0,4,0,97,1,9,1420
11,0,1,0,3,0,2,1,9,1421
1,0,0,0,1,0,52,1,9,1422
1,0,0,0,1,1,26,1,9,1423
33,0,2,0,32,0,142,1,9,1424
24,0,1,0,24,0,35,1,9,1425
20,0,3,0,3,0,42,1,9,1426
0,0,0,0,0,0,0,1,9,1427
24,0,1,0,23,0,15,1,9,1428
0,0,0,0,0,0,0,1,9,1429
2,0,0,0,3,0,14,1,9,1430
1,0,0,0,2,0,152,1,9,1431
3,0,0,0,5,0,42,1,9,1432
65,5,1,0,22,0,145,1,9,1433
42,0,0,0,61,1,87,1,9,1434
18,0,0,0,26,0,28,1,9,1435
11,0,0,0,18,0,55,1,9,1436
2,0,0,0,3,0,67,1,9,1437
118,11,2,0,25,2,22,1,9,1438
2,0,0,0,2,0,24,1,9,1439
7,0,0,0,11,0,245,1,9,1440
26,0,2,0,17,1,62,1,9,1441
58,4,1,1,25,2,53,1,9,1442
1,0,0,0,1,0,22,1,9,1443
1,0,0,0,1,0,38,1,9,1444
12,0,0,0,21,0,87,1,9,1445
4,0,0,1,1,0,115,1,3,3676
3,0,0,0,6,0,42,1,3,3677
1,0,0,0,2,0,55,1,3,3678
1,0,0,0,1,0,58,1,3,3679
10,0,1,0,4,0,27,1,3,3680
7,0,0,2,1,0,315,1,3,3681
28,0,2,2,15,3,618,1,3,3682
9,0,0,1,8,0,59,1,3,3683
3,0,0,1,0,0,82,1,3,3684
9,0,0,2,4,1,191,1,3,3685
56,3,4,2,9,0,288,1,3,3686
29,1,2,1,10,1,134,1,3,3687
12,0,1,1,2,0,254,1,3,3688
1,0,0,0,1,0,293,1,3,3689
11,0,1,0,4,0,60,1,3,3690
87,2,4,3,37,1,261,1,3,3691
42,0,1,1,36,0,191,1,3,3692
12,0,0,1,13,0,89,1,3,3693
1,0,0,0,3,0,35,1,3,3694
1,0,0,0,1,0,237,1,3,3695
8,0,1,0,2,0,12,1,3,3696
12,0,0,3,4,1,420,1,3,3697
3,0,0,1,0,0,9,1,3,3698
0,0,0,0,0,0,0,1,3,3699
2,0,0,0,2,0,102,1,3,3700
1,0,0,0,1,0,78,1,3,3701
1,0,0,0,2,0,7,1,3,3702
26,2,0,0,14,1,49,1,3,3703
1,0,0,0,3,0,35,1,3,3704
1,0,0,0,1,0,27,1,3,3705
1,0,0,0,1,0,50,1,3,3706
36,0,0,0,53,2,71,1,3,3707
5,0,0,0,8,0,30,1,3,3708
14,0,0,2,10,1,50,1,3,3709
2,0,0,0,3,0,58,1,3,3710
10,0,1,0,2,1,45,1,3,3711
3,0,0,0,3,1,71,1,3,3712
0,0,0,0,0,0,0,1,3,3713
6,0,0,0,5,0,44,1,3,3714
1,0,0,0,1,0,76,1,3,3715
7,0,0,0,8,2,82,1,3,3716
0,0,0,0,0,0,0,1,3,3717
6,0,0,0,8,1,61,1,3,3718
8,0,0,2,3,0,86,1,3,3719
9,0,0,0,13,0,122,1,3,3720
3,0,0,0,4,0,143,1,3,3721
0,0,0,0,0,0,0,1,3,3722
8,0,1,0,2,0,86,1,3,3723
6,0,0,0,7,1,368,1,3,3724
26,0,1,0,23,1,42,1,3,3725
10,0,0,3,1,0,218,1,3,3726
6,0,0,0,7,1,272,1,3,3727
2,0,0,0,4,0,224,1,3,3728
1,0,0,0,2,0,10,1,3,3729
1,0,0,0,1,0,56,1,3,3730
1,0,0,0,1,1,193,1,3,3731
9,0,0,1,9,0,95,1,3,3732
3,0,0,0,3,0,79,1,3,3733
23,0,1,0,22,0,64,1,3,3734
22,2,1,0,1,0,38,1,3,3735
0,0,0,0,0,0,0,1,3,3736
1,0,0,0,1,0,76,1,3,3737
0,0,0,0,0,0,0,1,3,3738
0,0,0,0,0,0,0,1,3,3739
3,0,0,0,4,0,46,1,3,3740
23,0,0,0,33,0,97,1,3,3741
1,0,0,0,1,0,27,1,3,3742
4,0,0,1,3,0,309,1,3,3743
27,0,1,0,36,1,85,1,3,3744
2,0,0,0,2,0,10,1,3,3745
1,0,0,0,1,0,27,1,3,3746
0,0,0,0,0,0,0,1,3,3747
27,0,1,0,28,1,50,1,3,3748
1,0,0,0,1,0,150,1,3,3749
1,0,0,0,1,0,15,1,3,3750
