fk_id_srf_target,fk_id_phases,fk_id_crp,fk_id_location,fk_id_sdg,fk_id_srf_cases_links,fk_id_srf_cases_info
5,54,4,181,24,28,18
5,54,4,181,47,28,18
5,54,4,181,61,28,18
5,54,4,181,96,28,18
5,54,4,188,24,27,18
5,54,4,188,47,27,18
5,54,4,188,61,27,18
5,54,4,188,96,27,18
5,54,4,188,24,28,18
5,54,4,188,47,28,18
5,54,4,188,61,28,18
5,54,4,188,96,28,18
5,54,4,189,24,27,18
5,54,4,189,47,27,18
5,54,4,189,61,27,18
5,54,4,189,96,27,18
5,54,4,189,24,28,18
5,54,4,189,47,28,18
5,54,4,189,61,28,18
5,54,4,189,96,28,18
5,54,4,209,24,27,18
5,54,4,209,47,27,18
5,54,4,209,61,27,18
5,54,4,209,96,27,18
5,54,4,209,24,28,18
5,54,4,209,47,28,18
5,54,4,209,61,28,18
5,54,4,209,96,28,18
5,54,4,222,24,27,18
5,54,4,222,47,27,18
5,54,4,222,61,27,18
5,54,4,222,96,27,18
5,54,4,222,24,28,18
5,54,4,222,47,28,18
5,54,4,222,61,28,18
5,54,4,222,96,28,18
5,54,4,224,24,27,18
5,54,4,224,47,27,18
5,54,4,224,61,27,18
5,54,4,224,96,27,18
5,54,4,224,24,28,18
5,54,4,224,47,28,18
5,54,4,224,61,28,18
5,54,4,224,96,28,18
5,54,4,225,24,27,18
5,54,4,225,47,27,18
5,54,4,225,61,27,18
5,54,4,225,96,27,18
5,54,4,225,24,28,18
5,54,4,225,47,28,18
5,54,4,225,61,28,18
5,54,4,225,96,28,18
5,54,4,231,24,27,18
5,54,4,231,47,27,18
5,54,4,231,61,27,18
5,54,4,231,96,27,18
5,54,4,231,24,28,18
5,54,4,231,47,28,18
5,54,4,231,61,28,18
5,54,4,231,96,28,18
5,54,4,232,24,27,18
5,54,4,232,47,27,18
5,54,4,232,61,27,18
5,54,4,232,96,27,18
5,54,4,232,24,28,18
5,54,4,232,47,28,18
5,54,4,232,61,28,18
5,54,4,232,96,28,18
5,54,4,234,24,27,18
5,54,4,234,47,27,18
5,54,4,234,61,27,18
5,54,4,234,96,27,18
5,54,4,234,24,28,18
5,54,4,234,47,28,18
5,54,4,234,61,28,18
5,54,4,234,96,28,18
5,54,4,238,24,27,18
5,54,4,238,47,27,18
5,54,4,238,61,27,18
5,54,4,238,96,27,18
5,54,4,238,24,28,18
5,54,4,238,47,28,18
5,54,4,238,61,28,18
5,54,4,238,96,28,18
5,54,4,262,24,27,18
5,54,4,262,47,27,18
5,54,4,262,61,27,18
5,54,4,262,96,27,18
5,54,4,262,24,28,18
5,54,4,262,47,28,18
5,54,4,262,61,28,18
5,54,4,262,96,28,18
5,54,4,249,24,27,18
5,54,4,249,47,27,18
5,54,4,249,61,27,18
5,54,4,249,96,27,18
5,54,4,249,24,28,18
5,54,4,249,47,28,18
5,54,4,249,61,28,18
5,54,4,249,96,28,18
5,54,4,258,24,27,18
5,54,4,258,47,27,18
5,54,4,258,61,27,18
5,54,4,258,96,27,18
5,54,4,258,24,28,18
5,54,4,258,47,28,18
5,54,4,258,61,28,18
5,54,4,258,96,28,18
5,54,4,274,24,27,18
5,54,4,274,47,27,18
5,54,4,274,61,27,18
5,54,4,274,96,27,18
5,54,4,274,24,28,18
5,54,4,274,47,28,18
5,54,4,274,61,28,18
5,54,4,274,96,28,18
5,54,4,275,24,27,18
5,54,4,275,47,27,18
5,54,4,275,61,27,18
5,54,4,275,96,27,18
5,54,4,275,24,28,18
5,54,4,275,47,28,18
5,54,4,275,61,28,18
5,54,4,275,96,28,18
5,156,16,72,24,39,19
5,156,16,72,47,39,19
5,156,16,72,61,39,19
5,156,16,72,96,39,19
5,156,16,72,24,40,19
5,156,16,72,47,40,19
5,156,16,72,61,40,19
5,156,16,72,96,40,19
8,88,9,106,73,0,20
8,88,9,106,88,0,20
8,88,9,106,96,0,20
8,88,9,95,73,0,21
8,88,9,95,88,0,21
8,88,9,95,96,0,21
9,210,17,0,88,29,22
9,210,17,0,94,29,22
9,210,17,0,96,29,22
9,88,9,118,88,46,23
9,88,9,118,94,46,23
9,88,9,118,96,46,23
9,88,9,136,88,46,23
9,88,9,136,94,46,23
9,88,9,136,96,46,23
1,57,4,19,1,10,24
1,57,4,19,24,10,24
1,57,4,19,61,10,24
1,57,4,19,84,10,24
1,57,4,19,96,10,24
1,57,4,19,1,11,24
1,57,4,19,24,11,24
1,57,4,19,61,11,24
1,57,4,19,84,11,24
1,57,4,19,96,11,24
1,57,4,61,1,10,24
1,57,4,61,24,10,24
1,57,4,61,61,10,24
1,57,4,61,84,10,24
1,57,4,61,96,10,24
1,57,4,61,1,11,24
1,57,4,61,24,11,24
1,57,4,61,61,11,24
1,57,4,61,84,11,24
1,57,4,61,96,11,24
1,57,4,105,1,10,24
1,57,4,105,24,10,24
1,57,4,105,61,10,24
1,57,4,105,84,10,24
1,57,4,105,96,10,24
1,57,4,105,1,11,24
1,57,4,105,24,11,24
1,57,4,105,61,11,24
1,57,4,105,84,11,24
1,57,4,105,96,11,24
1,57,4,189,1,10,24
1,57,4,189,24,10,24
1,57,4,189,61,10,24
1,57,4,189,84,10,24
1,57,4,189,96,10,24
1,57,4,189,1,11,24
1,57,4,189,24,11,24
1,57,4,189,61,11,24
1,57,4,189,84,11,24
1,57,4,189,96,11,24
1,57,4,209,1,10,24
1,57,4,209,24,10,24
1,57,4,209,61,10,24
1,57,4,209,84,10,24
1,57,4,209,96,10,24
1,57,4,209,1,11,24
1,57,4,209,24,11,24
1,57,4,209,61,11,24
1,57,4,209,84,11,24
1,57,4,209,96,11,24
1,57,4,258,1,10,24
1,57,4,258,24,10,24
1,57,4,258,61,10,24
1,57,4,258,84,10,24
1,57,4,258,96,10,24
1,57,4,258,1,11,24
1,57,4,258,24,11,24
1,57,4,258,61,11,24
1,57,4,258,84,11,24
1,57,4,258,96,11,24
1,57,4,275,1,10,24
1,57,4,275,24,10,24
1,57,4,275,61,10,24
1,57,4,275,84,10,24
1,57,4,275,96,10,24
1,57,4,275,1,11,24
1,57,4,275,24,11,24
1,57,4,275,61,11,24
1,57,4,275,84,11,24
1,57,4,275,96,11,24
1,57,4,195,1,10,24
1,57,4,195,24,10,24
1,57,4,195,61,10,24
1,57,4,195,84,10,24
1,57,4,195,96,10,24
1,57,4,195,1,11,24
1,57,4,195,24,11,24
1,57,4,195,61,11,24
1,57,4,195,84,11,24
1,57,4,195,96,11,24
1,57,4,189,1,12,25
1,57,4,189,24,12,25
1,57,4,189,61,12,25
1,57,4,189,84,12,25
