fk_id_innovation_info,fk_id_ext_partner,"role"
1300,1107,"Leader"
1301,107,"Contibutor"
1301,4092,"Leader"
1302,107,"Contibutor"
1302,4092,"Leader"
1303,106,"Contibutor"
1303,122,"Leader"
1304,106,"Contibutor"
1304,4170,"Leader"
1305,106,"Contibutor"
1305,969,"Leader"
1306,105,"Contibutor"
1306,1200,"Leader"
1307,582,"Contibutor"
1307,79,"Contibutor"
1307,146,"Contibutor"
1307,113,"Leader"
1308,105,"Contibutor"
1308,1101,"Leader"
1309,105,"Contibutor"
1309,1101,"Leader"
1310,105,"Contibutor"
1310,1101,"Leader"
1311,105,"Contibutor"
1311,1101,"Leader"
1312,1868,"Leader"
1313,105,"Contibutor"
1313,1101,"Leader"
1314,105,"Contibutor"
1314,1101,"Leader"
1315,108,"Contibutor"
1315,994,"Leader"
1316,108,"Contibutor"
1316,994,"Leader"
1317,108,"Contibutor"
1317,994,"Leader"
1318,108,"Contibutor"
1318,994,"Leader"
1319,108,"Contibutor"
1319,994,"Leader"
1320,108,"Contibutor"
1320,1276,"Contibutor"
1320,4170,"Leader"
1321,108,"Contibutor"
1321,4339,"Leader"
1322,118,"Contibutor"
1322,1879,"Leader"
1323,106,"Contibutor"
1323,2577,"Leader"
1324,106,"Contibutor"
1324,2379,"Leader"
1325,967,"Leader"
1326,108,"Contibutor"
1326,2109,"Leader"
1327,108,"Contibutor"
1327,1854,"Leader"
1328,79,"Contibutor"
1328,113,"Leader"
1329,119,"Contibutor"
1329,119,"Leader"
1331,119,"Contibutor"
1331,119,"Leader"
1333,108,"Contibutor"
1333,108,"Leader"
1334,263,"Contibutor"
1334,2005,"Contibutor"
1334,71,"Contibutor"
1334,72,"Contibutor"
1334,108,"Leader"
1335,263,"Contibutor"
1335,2005,"Contibutor"
1335,72,"Contibutor"
1335,71,"Contibutor"
1335,108,"Leader"
1336,71,"Contibutor"
1336,72,"Contibutor"
1336,108,"Leader"
1337,1611,"Contibutor"
1337,109,"Contibutor"
1337,100,"Contibutor"
1337,2581,"Contibutor"
1337,109,"Leader"
1610,1611,"Contibutor"
1610,113,"Contibutor"
1610,109,"Contibutor"
1610,100,"Contibutor"
1610,2581,"Contibutor"
1610,109,"Leader"
1338,110,"Contibutor"
1338,974,"Contibutor"
1338,349,"Contibutor"
1338,1065,"Contibutor"
1338,429,"Contibutor"
1338,119,"Leader"
1339,739,"Contibutor"
1339,693,"Contibutor"
1339,1652,"Contibutor"
1339,1843,"Contibutor"
1339,1725,"Contibutor"
1339,2027,"Contibutor"
1339,104,"Leader"
1340,203,"Contibutor"
1340,1079,"Contibutor"
1340,104,"Leader"
1341,655,"Contibutor"
1341,163,"Contibutor"
1341,2600,"Contibutor"
1341,948,"Contibutor"
1341,109,"Leader"
1611,655,"Contibutor"
1611,163,"Contibutor"
1611,2600,"Contibutor"
1611,948,"Contibutor"
1611,179,"Contibutor"
1611,109,"Leader"
1342,101,"Contibutor"
1342,113,"Leader"
1343,1662,"Contibutor"
1343,113,"Contibutor"
1343,4235,"Contibutor"
1344,1736,"Contibutor"
1344,105,"Contibutor"
1344,111,"Leader"
1345,110,"Contibutor"
1345,110,"Leader"
1346,110,"Contibutor"
1346,2214,"Contibutor"
1347,110,"Contibutor"
1347,146,"Contibutor"
1347,110,"Leader"
1348,1631,"Contibutor"
1349,636,"Contibutor"
1349,108,"Leader"
1350,1631,"Contibutor"
1350,108,"Contibutor"
1350,740,"Contibutor"
1350,1259,"Contibutor"
1350,1631,"Leader"
1353,110,"Contibutor"
1353,113,"Contibutor"
1353,4098,"Contibutor"
1353,1725,"Leader"
1354,108,"Contibutor"
1354,1661,"Contibutor"
1354,113,"Contibutor"
1354,108,"Leader"
1355,1661,"Contibutor"
1355,108,"Contibutor"
1355,4095,"Contibutor"
1355,1661,"Leader"
1356,108,"Contibutor"
1356,113,"Contibutor"
1356,113,"Leader"
1357,106,"Contibutor"
1357,481,"Contibutor"
1357,789,"Leader"
1359,113,"Contibutor"
1359,106,"Contibutor"
1359,118,"Leader"
1360,113,"Contibutor"
1360,1002,"Contibutor"
1360,1643,"Contibutor"
1360,119,"Leader"
1362,830,"Contibutor"
1362,2408,"Leader"
1612,830,"Contibutor"
1612,6894,"Contibutor"
1612,2408,"Contibutor"
1363,93,"Contibutor"
1363,4052,"Contibutor"
1363,349,"Contibutor"
1363,598,"Contibutor"
1363,110,"Leader"
1364,287,"Contibutor"
1364,660,"Contibutor"
1364,115,"Leader"
1365,830,"Contibutor"
1365,118,"Leader"
1366,108,"Leader"
1367,113,"Contibutor"
1368,274,"Contibutor"
1368,237,"Contibutor"
1368,4312,"Contibutor"
1368,1631,"Contibutor"
1368,1950,"Contibutor"
1368,116,"Leader"
1369,112,"Contibutor"
1369,112,"Leader"
1613,112,"Contibutor"
1613,112,"Leader"
1370,112,"Contibutor"
1370,1805,"Contibutor"
1370,1656,"Contibutor"
1370,112,"Leader"
1371,951,"Contibutor"
1371,974,"Contibutor"
1371,194,"Contibutor"
1371,2237,"Contibutor"
1371,263,"Contibutor"
1371,108,"Leader"
1372,257,"Contibutor"
1372,679,"Contibutor"
1372,107,"Leader"
1373,112,"Contibutor"
1373,112,"Leader"
1614,112,"Contibutor"
1614,112,"Leader"
1374,789,"Contibutor"
1374,789,"Leader"
1375,1205,"Contibutor"
1375,479,"Contibutor"
1375,613,"Leader"
