fk_id_crp,fk_id_phases,fk_id_publication_info,fk_id_ext_partner
1,6,654,105
1,6,654,106
1,6,654,112
1,6,654,739
1,6,654,1897
1,6,654,1599
1,6,655,106
1,6,655,711
1,6,655,1615
1,6,655,739
1,6,655,1939
1,6,655,1599
1,6,655,2689
1,6,656,1632
1,6,656,105
1,6,656,106
1,6,656,112
1,6,656,739
1,6,656,1869
1,6,657,1632
1,6,657,105
1,6,657,106
1,6,657,112
1,6,657,739
1,6,657,1897
1,6,657,1939
1,6,657,1599
1,6,658,106
1,6,667,106
1,6,667,112
1,6,667,93
1,6,667,1924
1,6,668,947
1,6,668,112
1,6,668,1684
1,6,668,226
1,6,668,118
1,6,669,726
1,6,676,0
1,6,686,113
1,6,686,1662
1,6,686,694
1,6,693,112
1,6,693,1209
1,6,693,1947
1,6,694,106
1,6,694,110
1,6,694,528
1,6,694,93
1,6,695,1631
1,6,695,107
1,6,695,11
1,6,695,113
1,6,695,674
1,6,695,726
1,6,695,1256
1,6,695,739
1,6,695,1874
1,6,695,1362
1,6,695,758
1,6,695,2055
1,6,697,106
1,6,697,108
1,6,697,1650
1,6,697,674
1,6,697,1830
1,6,697,2052
1,6,698,106
1,6,698,110
1,6,698,1656
1,6,700,118
1,6,700,1869
1,6,702,1724
1,6,702,118
1,6,703,1637
1,6,703,110
1,6,703,1758
1,6,703,2173
1,6,704,966
1,6,704,1661
1,6,704,1676
1,6,704,1008
1,6,704,739
1,6,704,118
1,6,704,2695
1,6,707,106
1,6,708,106
1,6,708,110
1,6,708,1655
1,6,708,533
1,6,708,119
1,6,708,1957
1,6,710,694
1,6,710,699
1,6,710,1688
1,6,710,1724
1,6,711,1631
1,6,711,646
1,6,711,1662
1,6,711,699
1,6,711,1688
1,6,711,1210
1,6,711,1724
1,6,711,726
1,6,711,1821
1,6,711,1895
1,6,712,113
1,6,712,1662
1,6,712,1688
1,6,712,1695
1,6,712,1724
1,6,712,1819
1,6,712,2572
1,6,713,1631
1,6,713,1662
1,6,713,1688
1,6,713,726
1,6,714,1631
1,6,714,1662
1,6,714,699
1,6,714,1688
1,6,714,1210
1,6,714,1008
1,6,714,1821
1,6,715,1631
1,6,715,1662
1,6,715,1688
1,6,716,1631
1,6,716,107
1,6,716,692
1,6,716,113
1,6,716,1662
1,6,716,694
1,6,716,1678
1,6,716,533
1,6,716,1811
1,6,716,726
1,6,716,1878
1,6,716,1916
1,6,716,1961
1,6,716,2559
1,6,717,1631
1,6,717,106
1,6,718,1631
1,6,718,105
1,6,718,106
1,6,718,108
1,6,718,110
1,6,718,111
1,6,718,673
1,6,718,694
1,6,718,118
1,6,718,119
1,6,718,1916
1,6,718,1957
1,6,719,106
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,3,14,0
1,3,15,0
1,3,16,0
1,3,17,0
1,3,18,0
1,3,19,0
1,3,20,0
1,3,21,0
1,3,22,0
1,3,23,0
1,3,24,0
1,3,25,0
1,3,26,0
1,3,27,0
1,3,28,0
1,3,29,0
1,3,30,0
1,3,31,0
1,3,32,0
1,3,33,0
1,3,34,0
1,3,35,0
1,3,36,0
1,3,37,0
1,3,38,0
1,3,39,0
1,3,40,0
1,3,41,0
1,3,42,0
1,3,43,0
1,3,44,0
1,3,45,0
1,3,46,0
1,3,47,0
1,3,48,0
1,3,49,0
1,3,50,0
1,3,51,0
1,3,52,0
1,3,53,0
1,3,54,0
1,3,55,0
1,3,56,0
1,3,57,0
1,3,58,0
1,3,59,0
1,3,60,0
1,3,61,0
1,3,62,0
1,3,63,0
1,3,64,0
1,3,65,0
1,3,66,0
1,3,67,0
1,3,68,0
1,3,69,0
1,3,70,0
1,3,71,0
1,3,72,0
1,3,73,0
1,3,74,0
1,3,75,0
1,3,76,0
1,3,77,0
1,3,78,0
1,3,79,0
1,3,80,0
1,3,81,0
1,3,82,0
1,3,83,0
1,3,84,0
1,3,85,0
1,3,86,0
1,3,87,0
1,3,88,0
1,3,89,0
1,3,90,0
1,3,91,0
1,3,92,0
1,3,93,0
1,3,94,0
1,3,95,0
1,3,96,0
1,3,97,0
1,3,98,0
1,3,99,0
1,3,100,0
1,3,101,0
1,3,102,0
1,3,103,0
1,3,104,0
1,3,105,0
1,3,106,0
1,3,107,0
1,3,108,0
1,3,109,0
1,3,110,0
1,3,111,0
1,3,112,0
1,3,113,0
1,3,114,0
1,3,115,0
1,3,116,0
1,3,117,0
1,3,118,0
1,3,119,0
1,3,120,0
1,3,121,0
1,3,122,0
1,3,123,0
1,3,124,0
1,3,125,0
1,3,126,0
1,3,127,0
1,3,128,0
1,3,129,0
1,3,130,0
1,3,131,0
1,3,132,0
1,3,133,0
1,3,134,0
1,3,135,0
1,3,136,0
1,3,137,0
1,3,138,0
1,3,139,0
1,3,140,0
1,3,141,0
1,3,142,0
1,3,143,0
1,3,144,0
1,3,145,0
1,3,146,0
1,3,147,0
1,3,148,0
1,3,149,0
1,3,150,0
1,3,151,0
1,3,152,0
1,3,153,0
1,3,154,0
1,3,155,0
1,3,156,0
1,3,157,0
1,3,158,0
1,3,159,0
1,3,160,0
1,3,161,0
1,3,162,0
1,3,163,0
1,3,164,0
1,3,165,0
1,3,166,0
1,3,167,0
1,3,168,0
2,20,169,0
2,20,170,0
2,20,171,0
2,20,172,0
2,20,173,0
2,20,174,0
2,20,175,0
2,20,176,0
2,20,177,0
2,20,178,0
2,20,179,0
2,20,180,0
2,20,181,0
2,20,182,0
2,20,183,0
2,20,184,0
2,20,185,0
2,20,186,0
2,20,187,0
2,20,188,0
2,20,189,0
2,20,190,0
2,20,191,0
2,20,192,0
2,20,193,0
2,20,194,0
2,20,195,0
2,20,196,0
2,20,197,0
2,20,198,0
2,20,199,0
2,20,200,0
2,20,201,0
2,20,202,0
2,20,203,0
2,20,204,0
2,20,205,0
2,20,206,0
2,20,207,0
2,20,208,0
2,20,209,0
2,20,210,0
2,20,211,0
2,20,212,0
2,20,213,0
2,20,214,0
2,20,215,0
2,20,216,0
2,20,217,0
2,20,218,0
2,20,219,0
2,20,220,0
2,20,221,0
2,20,222,0
2,20,223,0
2,20,224,0
2,20,225,0
2,20,226,0
2,20,227,0
2,20,228,0
2,20,229,0
2,20,230,0
2,20,231,0
2,20,232,0
2,20,233,0
2,20,234,0
2,20,235,0
2,20,236,0
2,20,237,0
2,20,238,0
2,20,239,0
2,20,240,0
2,20,241,0
2,20,242,0
2,20,243,0
2,20,244,0
2,20,245,0
2,20,246,0
2,20,247,0
2,20,248,0
2,20,249,0
2,20,250,0
2,20,251,0
2,20,252,0
2,20,253,0
2,20,254,0
2,20,255,0
2,20,256,0
2,20,257,0
2,20,258,0
2,20,259,0
2,20,260,0
2,20,261,0
2,20,262,0
2,20,263,0
2,20,264,0
2,20,265,0
2,20,266,0
2,20,267,0
2,20,268,0
2,20,269,0
2,20,270,0
2,20,271,0
2,20,272,0
2,20,273,0
2,20,274,0
2,20,275,0
2,20,276,0
2,20,277,0
2,20,278,0
2,20,279,0
2,20,280,0
2,20,281,0
2,20,282,0
2,20,283,0
2,20,284,0
