fk_id_partnership_2018_info,fk_id_partnerships_main_areas,fk_id_flagship,fk_id_ext_partner,fk_id_phases,fk_id_crp
26,2,5,2189,23,2
26,2,5,113,23,2
26,2,5,1135,23,2
26,4,5,2189,23,2
26,4,5,113,23,2
26,4,5,1135,23,2
27,1,10,1847,23,2
27,1,10,2296,23,2
27,1,10,1878,23,2
27,1,10,659,23,2
27,1,10,113,23,2
27,4,10,1847,23,2
27,4,10,2296,23,2
27,4,10,1878,23,2
27,4,10,659,23,2
27,4,10,113,23,2
28,2,10,113,23,2
28,2,10,79,23,2
29,1,6,1697,23,2
29,1,6,113,23,2
29,6,6,1697,23,2
29,6,6,113,23,2
30,2,6,675,23,2
30,2,6,113,23,2
30,2,6,2183,23,2
31,2,6,674,23,2
31,2,6,113,23,2
31,1,6,674,23,2
31,1,6,113,23,2
32,4,6,1859,23,2
32,4,6,681,23,2
32,4,6,730,23,2
32,4,6,673,23,2
32,4,6,113,23,2
32,4,6,2439,23,2
32,1,6,1859,23,2
32,1,6,681,23,2
32,1,6,730,23,2
32,1,6,673,23,2
32,1,6,113,23,2
32,1,6,2439,23,2
33,2,6,760,23,2
33,2,6,466,23,2
33,2,6,113,23,2
33,1,6,760,23,2
33,1,6,466,23,2
33,1,6,113,23,2
34,1,5,2308,23,2
34,1,5,113,23,2
34,1,5,107,23,2
34,1,5,694,23,2
34,1,5,692,23,2
35,4,4,93,6,1
35,4,4,1256,6,1
36,2,8,346,23,2
36,2,8,113,23,2
36,3,8,346,23,2
36,3,8,113,23,2
37,2,8,650,23,2
37,2,8,294,23,2
37,2,8,113,23,2
37,3,8,650,23,2
37,3,8,294,23,2
37,3,8,113,23,2
38,4,8,534,23,2
38,4,8,113,23,2
38,1,8,534,23,2
38,1,8,113,23,2
39,1,7,646,23,2
39,1,7,676,23,2
39,1,7,113,23,2
39,1,7,653,23,2
39,1,7,673,23,2
40,1,7,1631,23,2
40,1,7,113,23,2
40,4,7,1631,23,2
40,4,7,113,23,2
41,4,7,656,23,2
41,4,7,113,23,2
42,2,7,650,23,2
42,2,7,1419,23,2
42,2,7,1506,23,2
42,2,7,1972,23,2
42,2,7,1909,23,2
42,2,7,113,23,2
42,4,7,650,23,2
