fk_id_crp,fk_id_pol_inv_typ,fk_id_smo_org_types,fk_id_stg_maturity,fk_id_stage_processes,fk_id_phases,fk_id_oics,fk_id_tag
2,0,0,2,0,29,847,1
2,0,0,2,0,29,835,1
2,0,0,3,0,29,721,1
2,0,0,2,0,29,719,1
2,0,0,2,0,29,718,1
2,0,0,2,0,29,712,1
1,0,0,3,0,12,903,1
1,0,0,2,0,12,838,1
1,0,0,2,0,12,836,1
1,0,0,3,0,12,834,1
1,0,0,3,0,12,821,1
1,0,0,2,0,12,820,1
1,0,0,1,0,12,818,1
1,0,0,1,0,12,817,1
1,0,0,3,0,12,815,1
1,0,0,1,0,12,814,1
1,0,0,2,0,12,813,1
1,0,0,3,0,12,807,1
1,0,0,2,0,12,806,1
1,0,0,3,0,12,805,1
1,0,0,2,0,12,717,1
1,0,0,3,0,12,711,1
19,0,0,2,0,183,438,1
16,0,0,2,0,162,540,1
16,0,0,3,0,162,539,1
16,0,0,3,0,162,538,2
15,0,0,1,0,145,693,1
15,0,0,2,0,145,518,2
15,0,0,2,0,145,514,2
15,0,0,3,0,145,513,1
15,0,0,3,0,145,512,1
9,0,0,2,0,94,687,1
9,0,0,2,0,94,686,1
9,0,0,2,0,94,684,1
9,0,0,1,0,94,575,1
9,0,0,2,0,94,574,1
9,0,0,2,0,94,566,1
9,0,0,2,0,94,542,1
9,0,0,1,0,94,407,1
5,0,0,1,0,77,528,1
5,0,0,1,0,77,527,1
5,0,0,1,0,77,526,1
5,0,0,1,0,77,503,1
5,0,0,2,0,77,502,1
5,0,0,2,0,77,501,1
5,0,0,2,0,77,459,1
5,0,0,2,0,77,450,1
5,0,0,2,0,77,449,1
5,0,0,2,0,77,447,1
5,0,0,2,0,77,446,1
5,0,0,1,0,77,444,1
5,0,0,2,0,77,443,1
5,0,0,1,0,77,401,2
4,0,0,2,0,60,564,1
4,0,0,1,0,60,520,1
4,0,0,2,0,60,516,1
4,0,0,1,0,60,515,1
4,0,0,1,0,60,500,1
4,0,0,1,0,60,477,1
4,0,0,1,0,60,466,1
4,0,0,1,0,60,465,1
4,0,0,1,0,60,456,1
4,0,0,1,0,60,455,1
4,0,0,1,0,60,405,2
3,0,0,2,0,43,572,1
3,0,0,2,0,43,571,1
3,0,0,2,0,43,570,1
3,0,0,2,0,43,569,1
3,0,0,2,0,43,562,1
3,0,0,1,0,43,553,1
3,0,0,1,0,43,552,1
3,0,0,2,0,43,551,2
3,0,0,2,0,43,492,1
3,0,0,2,0,43,482,1
2,0,0,2,0,26,549,1
2,0,0,2,0,26,541,1
2,0,0,2,0,26,537,1
2,0,0,1,0,26,530,1
2,0,0,2,0,26,529,1
2,0,0,1,0,26,523,1
2,0,0,2,0,26,522,1
2,0,0,1,0,26,521,1
2,0,0,2,0,26,511,1
2,0,0,2,0,26,507,1
2,0,0,2,0,26,494,1
2,0,0,2,0,26,493,1
2,0,0,2,0,26,479,1
2,0,0,2,0,26,478,1
2,0,0,1,0,26,476,1
2,0,0,2,0,26,470,1
2,0,0,2,0,26,469,1
2,0,0,1,0,26,398,2
2,0,0,2,0,26,397,3
2,0,0,2,0,26,396,2
2,0,0,2,0,26,395,3
2,0,0,2,0,26,326,3
1,0,0,3,0,9,561,3
1,0,0,3,0,9,531,1
1,0,0,1,0,9,488,1
1,0,0,2,0,9,474,1
1,0,0,1,0,9,473,1
1,0,0,2,0,9,468,1
1,0,0,1,0,9,467,1
1,0,0,2,0,9,458,1
1,0,0,2,0,9,454,3
1,0,0,2,0,9,453,3
1,0,0,3,0,9,442,1
1,0,0,1,0,9,441,1
1,0,0,2,0,9,439,3
1,0,0,2,0,9,341,1
1,0,0,2,0,9,330,3
1,0,0,1,0,9,328,1
1,0,0,2,0,9,324,2
1,0,0,2,0,9,306,1
16,0,0,1,0,159,264,1
16,0,0,2,0,159,263,1
16,0,0,1,0,159,223,1
15,0,0,1,0,142,241,1
15,0,0,2,0,142,229,1
15,0,0,1,0,142,222,1
15,0,0,1,0,142,181,1
15,0,0,1,0,142,180,1
9,0,0,1,0,91,274,1
9,0,0,1,0,91,265,1
5,0,0,2,0,74,273,1
5,0,0,2,0,74,272,1
5,0,0,2,0,74,271,1
5,0,0,2,0,74,242,1
5,0,0,1,0,74,216,1
4,0,0,2,0,57,255,1
4,0,0,1,0,57,250,1
4,0,0,1,0,57,249,1
4,0,0,1,0,57,247,1
4,0,0,1,0,57,246,1
4,0,0,1,0,57,244,1
4,0,0,1,0,57,243,1
4,0,0,1,0,57,218,1
4,0,0,1,0,57,217,1
4,0,0,2,0,57,168,2
4,0,0,1,0,57,167,2
4,0,0,1,0,57,166,2
3,0,0,1,0,40,262,1
3,0,0,2,0,40,261,1
3,0,0,2,0,40,260,1
3,0,0,2,0,40,259,1
3,0,0,1,0,40,258,1
3,0,0,1,0,40,257,1
3,0,0,2,0,40,245,1
2,0,0,2,0,23,219,1
2,0,0,2,0,23,211,1
2,0,0,1,0,23,210,1
2,0,0,2,0,23,209,1
2,0,0,2,0,23,208,1
2,0,0,2,0,23,207,1
2,0,0,2,0,23,206,1
2,0,0,2,0,23,205,1
2,0,0,2,0,23,204,1
2,0,0,1,0,23,203,1
2,0,0,2,0,23,202,1
2,0,0,2,0,23,201,1
2,0,0,2,0,23,200,1
2,0,0,2,0,23,199,1
2,0,0,2,0,23,198,1
2,0,0,2,0,23,197,1
2,0,0,1,0,23,196,1
2,0,0,2,0,23,195,1
2,0,0,1,0,23,192,1
2,0,0,1,0,23,191,1
2,0,0,1,0,23,189,2
2,0,0,1,0,23,165,2
1,0,0,1,0,6,194,1
1,0,0,2,0,6,187,1
1,0,0,2,0,6,184,3
1,0,0,1,0,6,182,3
1,0,0,1,0,6,164,2
1,0,0,2,0,6,163,2
1,0,0,1,0,6,116,2
1,0,0,2,0,6,115,2
1,0,0,1,0,6,114,1
1,0,0,2,0,6,97,1
1,0,0,2,0,6,95,3
17,0,0,0,0,210,59,1
17,0,0,0,0,210,58,1
17,0,0,0,0,210,57,1
17,0,0,0,0,210,56,1
17,0,0,0,0,210,55,1
17,0,0,0,0,210,54,1
17,0,0,0,0,210,53,1
13,0,0,2,0,122,52,1
13,0,0,2,0,122,51,1
13,0,0,2,0,122,50,1
13,0,0,1,0,122,49,1
13,0,0,3,0,122,48,1
13,0,0,1,0,122,47,1
13,0,0,3,0,122,46,1
12,0,0,0,0,105,86,1
12,0,0,0,0,105,85,1
12,0,0,0,0,105,84,1
12,0,0,0,0,105,83,1
12,0,0,0,0,105,82,1
12,0,0,0,0,105,81,1
12,0,0,0,0,105,80,1
12,0,0,0,0,105,79,1
12,0,0,0,0,105,78,1
12,0,0,0,0,105,77,1
12,0,0,2,0,105,45,1
12,0,0,3,0,105,44,1
16,0,0,0,0,156,76,1
16,0,0,0,0,156,75,1
16,0,0,0,0,156,74,1
16,0,0,0,0,156,73,1
16,0,0,0,0,156,72,1
16,0,0,0,0,156,71,1
16,0,0,0,0,156,70,1
16,0,0,0,0,156,69,1
16,0,0,0,0,156,68,1
16,0,0,0,0,156,67,1
16,0,0,0,0,156,66,1
15,0,0,0,0,139,92,1
15,0,0,0,0,139,91,1
15,0,0,0,0,139,90,1
15,0,0,0,0,139,89,1
15,0,0,0,0,139,88,1
15,0,0,0,0,139,87,1
9,0,0,0,0,88,65,1
9,0,0,0,0,88,64,1
9,0,0,0,0,88,63,1
9,0,0,0,0,88,62,1
9,0,0,0,0,88,61,1
9,0,0,0,0,88,60,1
5,0,0,2,0,71,16,1
5,0,0,2,0,71,14,1
5,0,0,2,0,71,13,1
5,0,0,2,0,71,12,1
4,0,0,1,0,54,43,1
4,0,0,2,0,54,42,1
4,1,8,2,2,54,41,1
4,1,8,2,2,54,40,1
4,0,0,1,0,54,39,1
4,0,0,2,0,54,38,1
4,0,0,2,0,54,37,1
4,1,8,2,2,54,36,1
4,0,0,1,0,54,35,1
4,1,6,2,2,54,34,1
4,1,8,2,2,54,33,1
4,3,7,2,2,54,32,1
4,1,8,2,2,54,31,1
4,0,0,3,0,54,3,1
3,1,8,2,2,37,30,1
3,1,8,2,1,37,29,1
3,1,8,1,1,37,28,1
2,1,8,2,1,20,27,1
2,1,10,3,1,20,26,1
2,1,8,1,1,20,25,1
2,1,3,1,1,20,24,1
2,1,8,1,1,20,23,1
2,1,8,1,1,20,22,1
2,1,8,1,1,20,20,1
2,4,8,1,1,20,9,1
2,0,0,1,0,20,8,1
2,1,8,2,2,20,4,1
2,1,3,2,2,20,2,1
2,1,10,1,1,20,1,1
1,0,0,2,0,3,21,1
1,1,8,1,1,3,19,1
1,1,1,2,2,3,18,1
1,1,8,3,2,3,17,1
1,0,0,3,0,3,15,1
1,1,8,1,2,3,11,1
1,1,4,1,2,3,10,1
1,1,8,2,2,3,7,1
1,1,10,1,2,3,6,1
1,3,8,2,2,3,5,1
