attention_score;news_total;blog_total;policy_total;twitter_total;facebook_total;mendeley_total;fk_id_crp;fk_id_phases;fk_id_altmetrics_info
0;0;0;0;0;0;12;2;20;976
0;0;0;0;0;0;48;2;20;1008
0;0;0;0;0;0;9;2;20;1010
0;0;0;0;0;0;37;2;20;1050
0;0;0;0;0;0;16;2;20;1077
0;0;0;0;0;0;2;2;20;1147
0;0;0;0;0;0;4;2;20;1173
12;0;1;0;7;0;30;2;20;1204
7;0;0;0;11;0;6;2;20;1205
5;0;0;0;8;0;39;2;20;1208
0;0;0;0;0;0;24;2;20;1216
0;0;0;0;0;0;0;2;20;1217
295;7;4;0;351;0;83;3;37;8
23;3;0;0;0;0;0;3;37;101
20;0;0;0;24;0;7;3;37;125
19;0;3;0;13;0;130;3;37;138
18;0;1;0;22;0;53;3;37;142
17;1;1;0;3;0;0;3;37;153
11;0;2;0;0;0;0;3;37;224
11;0;0;0;14;0;0;3;37;225
11;0;1;0;6;0;0;3;37;237
8;0;1;0;1;1;75;3;37;329
8;0;1;0;1;0;0;3;37;360
8;0;1;0;1;0;0;3;37;361
6;0;1;0;0;0;0;3;37;412
4;0;0;1;1;0;0;3;37;470
4;0;0;0;6;0;14;3;37;492
3;0;0;0;4;0;36;3;37;519
3;0;0;1;0;0;0;3;37;523
2;0;0;0;3;0;0;3;37;550
2;0;0;0;3;0;0;3;37;551
2;0;0;0;2;0;18;3;37;552
2;0;0;0;4;0;0;3;37;555
2;0;0;0;5;0;0;3;37;556
2;0;0;0;3;0;0;3;37;574
2;0;0;0;3;0;0;3;37;594
1;0;0;0;2;0;0;3;37;596
1;0;0;0;1;0;0;3;37;601
1;0;0;0;2;0;0;3;37;602
1;0;0;0;2;0;0;3;37;606
1;0;0;0;1;0;0;3;37;623
1;0;0;0;2;0;0;3;37;626
1;0;0;0;1;0;0;3;37;627
1;0;0;0;1;0;0;3;37;628
1;0;0;0;1;0;0;3;37;629
1;0;0;0;2;0;0;3;37;633
1;0;0;0;1;0;0;3;37;638
1;0;0;0;1;0;0;3;37;639
1;0;0;0;2;0;0;3;37;644
1;0;0;0;2;0;0;3;37;645
1;0;0;0;2;0;0;3;37;647
1;0;0;0;2;0;0;3;37;648
1;0;0;0;2;0;0;3;37;649
1;0;0;0;2;0;0;3;37;650
1;0;0;0;2;0;0;3;37;654
1;0;0;0;1;0;0;3;37;655
1;0;0;0;2;0;0;3;37;659
1;0;0;0;2;0;0;3;37;661
1;0;0;0;2;0;0;3;37;665
1;0;0;0;2;0;0;3;37;666
1;0;0;0;2;0;0;3;37;667
1;0;0;0;1;0;0;3;37;673
1;0;0;0;1;0;0;3;37;674
1;0;0;0;2;0;0;3;37;675
1;0;0;0;2;0;0;3;37;678
1;0;0;0;2;0;0;3;37;680
1;0;0;0;2;0;0;3;37;683
1;0;0;0;2;0;0;3;37;684
1;0;0;0;3;0;0;3;37;686
1;0;0;0;2;0;0;3;37;688
1;0;0;0;2;0;0;3;37;690
1;0;0;0;2;0;0;3;37;693
1;0;0;0;2;0;0;3;37;699
1;0;0;0;2;0;0;3;37;700
1;0;0;0;1;0;0;3;37;701
1;0;0;0;1;0;0;3;37;702
