fk_id_flagship;fk_id_ext_partner;fk_id_phases;fk_id_crp;fk_id_geo_scopes;fk_id_research_phases;fk_id_partnership_info;fk_id_location
39;2067;122;13;0;0;485;0
39;2067;122;13;0;0;485;0
39;1612;122;13;0;0;486;0
39;1612;122;13;0;0;486;0
40;1700;122;13;0;0;487;0
40;1700;122;13;0;0;487;0
40;1692;122;13;0;0;488;0
40;1692;122;13;0;0;488;0
40;1753;122;13;0;0;489;0
40;1753;122;13;0;0;489;0
40;1664;122;13;0;0;490;0
40;1664;122;13;0;0;490;0
40;1811;122;13;0;0;491;0
40;1811;122;13;0;0;491;0
